"","lambda","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"102",0.35,2010,0,1.16711132170161,0,0,7.20141211181379,0,NA,16.8819707523242,NA,NA,11.6302835412419,NA,539,0,241,0,3535
"103",0.4,2010,0,1.16394844974253,0,0,7.01694488566521,0,NA,16.1213321517608,NA,NA,10.9411754404393,NA,539,0,241,0,3535
"104",0.45,2010,0,1.15363069941828,0,0,6.79497462877099,0,NA,15.4395283724729,NA,NA,10.2837614757276,NA,539,0,241,0,3535
"105",0.5,2010,0,1.1356966938978,0,0,6.53377215602911,0,NA,14.8216967504586,NA,NA,9.64746140322163,NA,539,0,241,0,3535
"106",0.55,2010,0,1.10984350340474,0,0,6.23316326572657,0,NA,14.2550871037312,NA,NA,9.02560301848652,NA,539,0,241,0,3535
"107",0.6,2010,0,1.07603180766987,0,0,5.89534060108266,0,NA,13.7287321800326,NA,NA,8.41664794854242,NA,539,0,241,0,3535
"108",0.65,2010,0,1.03458948785898,0,0,5.5254157287526,0,NA,13.2332283681727,NA,NA,7.82507186880324,NA,539,0,241,0,3535
"109",0.7,2010,0,0.986285246043696,0,0,5.13147785797337,0,NA,12.7606306391201,NA,NA,7.26147537316125,NA,539,0,241,0,3535
"110",0.75,2010,0,0.932342078514178,0,0,4.72402811410058,0,NA,12.3044671860145,NA,NA,6.74155583125603,NA,539,0,241,0,3535
"111",0.8,2010,0,0.874371022832232,0,0,4.31485335564455,0,NA,11.859875690687,NA,NA,6.28377445121215,NA,539,0,241,0,3535
"112",0.85,2010,0,0.814227791482204,0,0,3.91560704876733,0,NA,11.4238522358145,NA,NA,5.90590138320442,NA,539,0,241,0,3535
"113",0.9,2010,0,0.753820378740178,0,0,3.53646807932034,0,NA,10.9955832025857,NA,NA,5.62109989235605,NA,539,0,241,0,3535
"114",0.95,2010,0,0.694912279061844,0,0,3.18519619907532,0,NA,10.5767992223165,NA,NA,5.43470707576912,NA,539,0,241,0,3535
"115",0.05,2011,0,1.07238111442689,0,0,5.26463841836331,0,NA,24.1616888000546,NA,NA,19.6778916337533,NA,591,0,273,0,3935
"116",0.1,2011,0,1.07484251719953,0,0,5.35755747177209,0,NA,22.8914049170286,NA,NA,18.9232504448938,NA,591,0,273,0,3935
"117",0.15,2011,0,1.07966200892494,0,0,5.45511475859796,0,NA,21.6374626015796,NA,NA,18.1322072950736,NA,591,0,273,0,3935
"118",0.2,2011,0,1.08608172924539,0,0,5.55286784809321,0,NA,20.4167211341006,NA,NA,17.3062052426712,NA,591,0,273,0,3935
"119",0.25,2011,0,1.09326171626478,0,0,5.64578452508503,0,NA,19.2443207653917,NA,NA,16.4482455396567,NA,591,0,273,0,3935
"120",0.3,2011,0,1.10026817556018,0,0,5.72813719442343,0,NA,18.1328624006344,NA,NA,15.5624008949507,NA,591,0,273,0,3935
"121",0.35,2011,0,1.10606324544958,0,0,5.79340667175523,0,NA,17.0918936288855,NA,NA,14.653390032145,NA,591,0,273,0,3935
"122",0.4,2011,0,1.10950135511394,0,0,5.83425017575294,0,NA,16.1276717421565,NA,NA,13.7263140347196,NA,591,0,273,0,3935
"123",0.45,2011,0,1.10934047232259,0,0,5.842623371003,0,NA,15.2431621492168,NA,NA,12.7866664327527,NA,591,0,273,0,3935
"124",0.5,2011,0,1.10427957713795,0,0,5.81017346379295,0,NA,14.4382284082809,NA,NA,11.8407115914043,NA,591,0,273,0,3935
"125",0.55,2011,0,1.09303465294105,0,0,5.72901316301968,0,NA,13.709973188127,NA,NA,10.8962623631794,NA,591,0,273,0,3935
"126",0.6,2011,0,1.07446142525681,0,0,5.59290897244653,0,NA,13.0531945559729,NA,NA,9.96376590233285,NA,591,0,273,0,3935
"127",0.65,2011,0,1.04772112360583,0,0,5.39875046442456,0,NA,12.460927902064,NA,NA,9.05743408551079,NA,591,0,273,0,3935
"128",0.7,2011,0,1.01246546272615,0,0,5.14794231143338,0,NA,11.9250507755018,NA,NA,8.19597603620567,NA,591,0,273,0,3935
"129",0.75,2011,0,0.968994599484988,0,0,4.84719392881001,0,NA,11.4369359856264,NA,NA,7.40237958650478,NA,591,0,273,0,3935
"130",0.8,2011,0,0.918329673402169,0,0,4.50823336833544,0,NA,10.9881456906579,NA,NA,6.70221740273452,NA,591,0,273,0,3935
"131",0.85,2011,0,0.862153549751885,0,0,4.14631664218841,0,NA,10.5711613034787,NA,NA,6.12017871276386,NA,591,0,273,0,3935
"132",0.9,2011,0,0.802612861432166,0,0,3.77790278398961,0,NA,10.1801345418639,NA,NA,5.67507566570746,NA,591,0,273,0,3935
"133",0.95,2011,0,0.742025747050933,0,0,3.41821860204232,0,NA,9.81161851369038,NA,NA,5.37462434779059,NA,591,0,273,0,3935
"134",0.05,2012,0,0.811097324877713,0.00443681015830158,0,5.39265897737522,0.0294985612665926,NA,16.5823047675325,107.401200995423,NA,17.7218796336123,17.7957598864807,587,0,288,1,3949
"135",0.1,2012,0,0.825758125761292,0.00419093427137021,0,5.3958532514443,0.0273853391317391,NA,15.6267716542695,107.398815218707,NA,16.6067449055768,16.6791178171939,587,0,288,1,3949
"136",0.15,2012,0,0.841001606111933,0.00394582294344752,0,5.41215368938632,0.0253928173809009,NA,14.8161822853861,107.396697840542,NA,15.6361941278236,15.7072498644925,587,0,288,1,3949
"137",0.2,2012,0,0.857027374972853,0.00370163170072365,0,5.44027929327341,0.0234973944600185,NA,14.1169959755554,107.39481336564,NA,14.7754931509645,14.8454522092937,587,0,288,1,3949
"138",0.25,2012,0,0.873853309404506,0.00345851425234633,0,5.47792167599131,0.0216803781432875,NA,13.5028416864185,107.393131895095,NA,13.9948224179753,14.0639600157206,587,0,288,1,3949
"139",0.3,2012,0,0.891292580755901,0.00321662991654713,0,5.52159928712751,0.0199271730042863,NA,12.9540796818268,107.391628262444,NA,13.2688307934371,13.3374942472733,587,0,288,1,3949
